timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669870632.891344,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870632.910489,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870632.923213,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870632.93516,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.953412,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870632.963819,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870632.96694,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.98478,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870632.985931,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870632.997676,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.022458,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.030184,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.039926,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.05429,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.054291,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.061185,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.068731,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.096588,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.11748,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.117482,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.120768,IP,162.159.134.234,443,172.16.42.226,60486,6,149
1669870633.128451,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.14607,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.159288,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.159289,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.170846,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.191113,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.197212,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.220215,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.233667,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.23431,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.238852,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.2489,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.260159,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.270232,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.276847,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.282903,IP,172.16.42.226,37468,172.16.42.1,1471,6,1088
1669870633.283143,IP,172.16.42.1,1471,172.16.42.226,37468,6,0
1669870633.284883,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669870633.29523,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870633.311443,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.312027,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.334278,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.33579,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.351025,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.366752,IP,172.16.42.1,1471,172.16.42.226,37468,6,390
1669870633.367871,IP,172.16.42.226,37468,172.16.42.1,1471,6,0
1669870633.370827,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.370828,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.374294,IP,172.16.42.1,1471,172.16.42.226,37478,6,0
1669870633.375771,IP,172.16.42.226,37478,172.16.42.1,1471,6,0
1669870633.376351,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.396185,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.408454,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.414533,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.428597,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.444503,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.445771,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.453953,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.470272,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.474451,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.482639,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.501318,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.504407,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.511533,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.52221,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.52789,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.54508,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.545939,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.576281,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.577632,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.585278,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.587636,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.59691,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.605713,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.620021,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.628889,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.630293,IP,172.16.42.1,1471,172.16.42.226,53092,6,0
1669870633.636476,IP,172.16.42.226,53092,172.16.42.1,1471,6,0
1669870633.653677,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.664534,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.664928,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.682571,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.685531,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.687634,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.703191,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.708415,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.739343,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.740124,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.756538,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.761541,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.782338,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.788339,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.788341,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.788341,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.816986,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.829919,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870633.853109,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.862396,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.862962,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.863536,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.887428,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.89906,IP,172.16.42.226,53092,172.16.42.1,1471,6,0
1669870633.899264,IP,172.16.42.1,1471,172.16.42.226,53092,6,0
1669870633.905668,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.915288,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.925593,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.927753,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.943262,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.946396,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870633.96415,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870633.995387,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.003217,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870634.011961,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.012612,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.018965,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.037159,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.059392,IP,172.16.42.215,38168,99.83.183.187,443,6,198
1669870634.094653,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.103465,IP,172.16.42.215,38168,99.83.183.187,443,6,118
1669870634.112789,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.113324,IP,99.83.183.187,443,172.16.42.215,38168,6,0
1669870634.121575,IP,172.16.42.215,38168,99.83.183.187,443,6,118
