timestamp,type,source_ip,source_port,destination_ip,destination_port,protocol,packet_size
1669868521.212164,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868523.240416,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868523.240651,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868523.245421,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868523.247675,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868524.429125,IP,172.16.42.226,56940,172.16.42.1,1471,6,1270
1669868524.429352,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868524.738786,IP,172.16.42.1,1471,172.16.42.226,56940,6,208
1669868525.267421,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868525.275736,IP,172.16.42.226,56940,172.16.42.1,1471,6,1229
1669868525.275973,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868525.338264,IP,172.16.42.226,39912,142.251.35.206,80,6,112
1669868525.376862,IP,142.251.35.206,80,172.16.42.226,39912,6,127
1669868525.377987,IP,172.16.42.226,39912,142.251.35.206,80,6,0
1669868525.581043,IP,172.16.42.1,1471,172.16.42.226,56940,6,396
1669868525.60603,IP,172.16.42.226,60646,44.240.84.205,443,6,113
1669868525.606574,IP,172.16.42.226,60646,44.240.84.205,443,6,459
1669868525.62822,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868525.648783,IP,44.240.84.205,443,172.16.42.226,60646,6,0
1669868525.649366,IP,44.240.84.205,443,172.16.42.226,60646,6,0
1669868525.649612,IP,44.240.84.205,443,172.16.42.226,60646,6,46
1669868525.662254,IP,44.240.84.205,443,172.16.42.226,60646,6,576
1669868525.662751,IP,44.240.84.205,443,172.16.42.226,60646,6,38
1669868525.667697,IP,172.16.42.226,60646,44.240.84.205,443,6,0
1669868525.671499,IP,172.16.42.226,60646,44.240.84.205,443,6,42
1669868525.756699,IP,44.240.84.205,443,172.16.42.226,60646,6,0
1669868526.178617,IP,162.159.134.234,443,172.16.42.226,60486,6,144
1669868526.199229,IP,162.159.134.234,443,172.16.42.226,60486,6,139
1669868526.701116,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868526.701505,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868528.132724,IP,172.16.42.226,56295,172.16.42.1,53,17,32
1669868528.140171,IP,172.16.42.226,56940,172.16.42.1,1471,6,1088
1669868528.140401,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868528.153793,IP,172.16.42.1,53,172.16.42.226,56295,17,256
1669868528.210936,IP,172.16.42.1,1471,172.16.42.226,56940,6,390
1669868528.211871,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868528.227823,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868528.228046,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868528.230711,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868528.276149,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868528.410414,IP,162.159.134.234,443,172.16.42.226,60486,6,83
1669868528.749114,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868528.917405,IP,162.159.134.234,443,172.16.42.226,60486,6,75
1669868528.953578,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868529.421122,IP,172.16.42.226,56940,172.16.42.1,1471,6,1270
1669868529.421356,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868529.99184,IP,172.16.42.1,1471,172.16.42.226,56940,6,208
1669868530.500782,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868530.508963,IP,172.16.42.226,56940,172.16.42.1,1471,6,1229
1669868530.509188,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868530.758084,IP,162.159.134.234,443,172.16.42.226,60486,6,218
1669868530.760801,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868530.808065,IP,172.16.42.1,1471,172.16.42.226,56940,6,449
1669868530.95458,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868530.999751,IP,172.16.42.226,34356,35.186.224.47,443,6,43
1669868531.006584,IP,35.186.224.47,443,172.16.42.226,34356,6,0
1669868531.051257,IP,35.186.224.47,443,172.16.42.226,34356,6,40
1669868531.0984,IP,172.16.42.226,34356,35.186.224.47,443,6,0
1669868532.59782,IP,162.159.134.234,443,172.16.42.226,60486,6,279
1669868533.050289,IP,172.16.42.226,60486,162.159.134.234,443,6,0
1669868533.157672,IP,172.16.42.226,45480,35.244.218.227,443,6,0
1669868533.165235,IP,35.244.218.227,443,172.16.42.226,45480,6,0
1669868533.232615,IP,172.16.42.226,56940,172.16.42.1,1471,6,1095
1669868533.232845,IP,172.16.42.1,1471,172.16.42.226,56940,6,0
1669868533.23371,IP,172.16.42.226,36136,172.16.42.1,1471,6,1088
1669868533.238901,IP,172.16.42.1,1471,172.16.42.226,56940,6,139
1669868533.239703,IP,172.16.42.226,56940,172.16.42.1,1471,6,0
1669868533.274301,IP,172.16.42.1,1471,172.16.42.226,36136,6,0
